video_id,status
vid_919,failed
vid_920,failed
vid_921,failed
vid_922,failed
vid_923,failed
vid_924,failed
vid_925,failed
vid_926,failed
vid_927,failed
vid_928,failed
vid_929,failed
vid_930,failed
vid_931,failed
vid_933,failed
vid_932,failed
vid_934,failed
vid_935,failed
vid_936,failed
vid_937,failed
vid_938,failed
vid_939,failed
vid_942,failed
vid_944,failed
vid_940,failed
vid_941,failed
vid_943,failed
vid_946,failed
vid_945,failed
vid_947,failed
vid_948,failed
vid_950,failed
vid_949,failed
vid_951,failed
vid_956,failed
vid_952,failed
vid_954,failed
vid_955,failed
vid_953,failed
vid_957,failed
vid_958,failed
vid_959,failed
vid_961,failed
vid_960,failed
vid_962,failed
vid_965,failed
vid_963,failed
vid_966,failed
vid_964,failed
vid_967,failed
vid_968,failed
vid_969,failed
vid_970,failed
vid_972,failed
vid_973,failed
vid_971,failed
vid_974,failed
vid_976,failed
vid_975,failed
vid_977,failed
vid_979,failed
vid_978,failed
vid_980,failed
vid_981,failed
vid_982,failed
vid_983,failed
vid_984,failed
vid_985,failed
vid_986,failed
vid_987,failed
vid_988,failed
vid_989,failed
vid_990,failed
vid_991,failed
vid_992,failed
vid_993,failed
vid_994,failed
vid_996,failed
vid_995,failed
vid_998,failed
vid_997,failed
vid_999,failed
